4592.1486  2.8287762E-01
4621.3281  2.8265539E-01
4650.9465  2.9278305E-01
4680.9684  2.9460397E-01
4711.4476  2.9538512E-01
4742.3482  2.9514393E-01
4773.7026  2.9646003E-01
4805.5206  2.9338109E-01
4837.8123  2.5133437E-01
4870.5887  2.5672591E-01
4903.8355  3.1322083E-01
4937.5889  2.9199019E-01
4971.8590  1.7131132E-01
5006.6589  2.7088124E-01
5041.9744  3.3009726E-01
5077.8176  2.7866098E-01
5114.2262  2.5352958E-01
5151.2139  3.3548218E-01
5188.7674  3.4983629E-01
5226.9270  3.5385370E-01
5265.6796  3.5556886E-01
5305.0398  3.5313100E-01
5345.0497  3.5922143E-01
5385.6967  3.7080532E-01
5427.0255  3.7226230E-01
5468.9935  3.8004142E-01
5511.6765  3.8079673E-01
