波数,光学的厚さfor,光学的厚さpython,誤差
4974.54,1.378806811,1.363290491,-1.138152137
4974.541,1.400096043,1.384340302,-1.13814074
4974.542,1.42189533,1.405894448,-1.138128284
4974.543,1.444221227,1.4279693,-1.138114579
4974.544,1.467091161,1.450582097,-1.138099282
4974.545,1.490523646,1.473751153,-1.138081746
4974.546,1.514538574,1.497496157,-1.138060788
4974.547,1.539157589,1.521838542,-1.138034463
4974.548,1.564404432,1.546801829,-1.137999895
4974.549,1.59030506,1.57241175,-1.137953218
4974.55,1.616887231,1.598695832,-1.137889911
4974.551,1.644179274,1.62568216,-1.137806285
4974.552,1.672207915,1.653397239,-1.13769855
4974.553,1.700995768,1.681863355,-1.137572387
4974.554,1.730559038,1.711096418,-1.137435633
4974.555,1.760907163,1.741105587,-1.137298976
4974.556,1.792045332,1.771895703,-1.137179156
4974.557,1.823979668,1.803472482,-1.137094466
4974.558,1.856723637,1.835849021,-1.137055169
4974.559,1.890303436,1.869051167,-1.137061908
4974.56,1.924760024,1.903119498,-1.137108121
4974.561,1.960146796,1.938107051,-1.137178934
4974.562,1.99652412,1.974073867,-1.137254982
4974.563,2.033953131,2.011080677,-1.137321539
4974.564,2.072490949,2.049184131,-1.137370619
4974.565,2.112188665,2.088434862,-1.137397344
4974.566,2.153092153,2.128878303,-1.137399477
4974.567,2.195244672,2.170557142,-1.137382176
4974.568,2.238689522,2.213514132,-1.137349402
4974.569,2.283472344,2.257794332,-1.137305193
4974.57,2.32964244,2.303446436,-1.137252593
4974.571,2.377253317,2.350523316,-1.13719361
4974.572,2.426362736,2.399082068,-1.137129412
4974.573,2.477032573,2.449183869,-1.137060561
4974.574,2.529328678,2.500893834,-1.136987245
4974.575,2.583320835,2.554280973,-1.136909446
4974.576,2.639082833,2.60941826,-1.13682705
4974.577,2.696692643,2.666382806,-1.13673989
4974.578,2.756232677,2.725256115,-1.136647739
4974.579,2.817790093,2.786124388,-1.136550291
4974.58,2.881457123,2.849078847,-1.136447166
4974.581,2.947331413,2.914216071,-1.136337914
4974.582,3.015516373,2.981638341,-1.136222029
4974.583,3.086121546,3.051454008,-1.136098972
4974.584,3.159263022,3.123777898,-1.135968193
4974.585,3.235063898,3.198731771,-1.135829118
4974.586,3.313654801,3.276444835,-1.135681141
4974.587,3.395174468,3.357054323,-1.135523619
4974.588,3.479770371,3.440706113,-1.135355857
4974.589,3.567618771,3.527555403,-1.135726101
4974.59,3.658849513,3.617767449,-1.135563974
4974.591,3.753658598,3.711518353,-1.135390973
4974.592,3.852235892,3.808995933,-1.135206238
