           0   280.143036       636.294739    
           2   221.670990       535.060608    
           4   217.274841       447.665619    
           6   213.812653       373.430298    
           8   210.260956       310.654846    
          10   206.011490       257.676941    
          12   200.335815       212.646942    
          14   195.135086       174.570114    
          16   190.359131       142.824814    
          18   186.608185       116.185837    
          20   183.461975       94.2309799    
          22   180.876892       76.2113724    
          24   178.461609       61.4135895    
          26   176.116180       49.4149628    
          28   173.266632       39.5697327    
          30   170.254211       31.6368103    
          32   167.016418       25.1469440    
          34   163.670410       19.9323997    
          36   160.274384       15.7175808    
          38   156.826660       12.3278952    
          40   153.341782       9.64238930    
          42   149.729691       7.47044945    
          44   146.117599       5.78773642    
          46   143.661865       4.43711042    
          48   141.304214       3.39863205    
          50   140.073105       2.59437323    
          52   139.590652       1.97596908    
          54   139.624435       1.50630665    
          56   141.704742       1.15232503    
          58   143.785034      0.881528974    
          60   147.404205      0.681533277    
